transaction_id,date,customer_id,product_id,product_name,category,region,channel,payment_method,quantity,unit_price,discount_pct,net_unit_price,revenue,cogs,profit
TXN01093,2023-01-04,CUST0366,PROD016,Yoga Mat,Sports,West,Mobile App,Cash,5,34.99,0.05,33.24,166.2,102.43,63.77
TXN00651,2023-01-04,CUST0059,PROD011,Air Fryer 5L,Home & Kitchen,East,In-Store,Net Banking,3,89.99,0.08,82.79,248.37,139.09,109.28
TXN00273,2023-01-04,CUST0212,PROD021,Data Science Handbook,Books,South,Mobile App,Debit Card,1,49.99,0.24,37.99,37.99,22.17,15.82
TXN01039,2023-01-04,CUST0341,PROD016,Yoga Mat,Sports,Central,Online,Credit Card,1,34.99,0.02,34.29,34.29,20.59,13.7
TXN00003,2023-01-04,CUST0389,PROD010,Sneakers,Clothing,South,Mobile App,Net Banking,4,99.99,0.06,93.99,375.96,213.49,162.47
TXN00519,2023-01-04,CUST0193,PROD006,Running Jacket,Clothing,South,Mobile App,UPI,1,79.99,0.14,68.79,68.79,32.58,36.21
TXN01277,2023-01-05,CUST0082,PROD012,Coffee Maker,Home & Kitchen,East,Mobile App,Cash,4,69.99,0.22,54.59,218.36,118.28,100.08
TXN00568,2023-01-05,CUST0120,PROD003,Smart Watch,Electronics,North,Online,Credit Card,3,249.99,0.03,242.49,727.47,391.15,336.32
TXN01135,2023-01-05,CUST0491,PROD003,Smart Watch,Electronics,North,Mobile App,UPI,2,249.99,0.23,192.49,384.98,219.41,165.57
TXN01217,2023-01-05,CUST0164,PROD028,Lipstick Set,Beauty,North,Mobile App,UPI,3,39.99,0.04,38.39,115.17,59.07,56.1
TXN01160,2023-01-06,CUST0388,PROD012,Coffee Maker,Home & Kitchen,East,Online,Cash,5,69.99,0.03,67.89,339.45,167.14,172.31
TXN00896,2023-01-06,CUST0368,PROD020,Jump Rope,Sports,Central,Online,Credit Card,3,14.99,0.24,11.39,34.17,18.4,15.77
TXN01067,2023-01-06,CUST0062,PROD019,Water Bottle,Sports,North,Online,Credit Card,3,24.99,0.16,20.99,62.97,33.94,29.03
TXN01206,2023-01-06,CUST0463,PROD018,Resistance Bands,Sports,South,Mobile App,Cash,4,19.99,0.2,15.99,63.96,31.08,32.88
TXN01382,2023-01-06,CUST0163,PROD012,Coffee Maker,Home & Kitchen,West,Online,Debit Card,2,69.99,0.13,60.89,121.78,75.0,46.78
TXN01091,2023-01-06,CUST0493,PROD028,Lipstick Set,Beauty,West,Mobile App,Cash,5,39.99,0.23,30.79,153.95,94.17,59.78
TXN00650,2023-01-06,CUST0328,PROD003,Smart Watch,Electronics,South,Mobile App,UPI,3,249.99,0.14,214.99,644.97,372.47,272.5
TXN00990,2023-01-06,CUST0088,PROD030,Perfume 50ml,Beauty,East,In-Store,Net Banking,1,69.99,0.11,62.29,62.29,32.62,29.67
TXN01025,2023-01-07,CUST0442,PROD009,Winter Coat,Clothing,Central,Mobile App,UPI,2,149.99,0.04,143.99,287.98,140.51,147.47
TXN01232,2023-01-07,CUST0344,PROD026,Vitamin C Serum,Beauty,South,In-Store,Net Banking,1,34.99,0.24,26.59,26.59,12.29,14.3
TXN01566,2023-01-07,CUST0152,PROD007,Slim Jeans,Clothing,South,Online,Cash,4,59.99,0.16,50.39,201.56,99.41,102.15
TXN00340,2023-01-07,CUST0185,PROD002,Wireless Earbuds,Electronics,East,Online,Net Banking,4,89.99,0.16,75.59,302.36,140.36,162.0
TXN01364,2023-01-07,CUST0019,PROD013,Blender Pro,Home & Kitchen,North,Mobile App,Credit Card,4,59.99,0.05,56.99,227.96,136.02,91.94
TXN00743,2023-01-07,CUST0355,PROD016,Yoga Mat,Sports,West,Online,Debit Card,4,34.99,0.12,30.79,123.16,57.47,65.69
TXN01917,2023-01-07,CUST0126,PROD005,USB-C Hub,Electronics,West,In-Store,Net Banking,2,49.99,0.21,39.49,78.98,43.82,35.16
TXN00350,2023-01-07,CUST0126,PROD026,Vitamin C Serum,Beauty,North,In-Store,UPI,2,34.99,0.19,28.34,56.68,25.54,31.14
TXN01134,2023-01-07,CUST0391,PROD021,Data Science Handbook,Books,North,Online,Debit Card,4,49.99,0.1,44.99,179.96,84.94,95.02
TXN00574,2023-01-08,CUST0086,PROD027,Moisturizer SPF30,Beauty,East,Mobile App,Credit Card,1,29.99,0.06,28.19,28.19,15.13,13.06
TXN01852,2023-01-08,CUST0212,PROD021,Data Science Handbook,Books,North,In-Store,Debit Card,2,49.99,0.18,40.99,81.98,50.5,31.48
TXN01008,2023-01-08,CUST0206,PROD002,Wireless Earbuds,Electronics,East,Online,Net Banking,2,89.99,0.03,87.29,174.58,89.85,84.73
TXN01965,2023-01-08,CUST0427,PROD019,Water Bottle,Sports,South,Mobile App,Credit Card,5,24.99,0.04,23.99,119.95,58.46,61.49
TXN00123,2023-01-08,CUST0136,PROD029,Hair Dryer,Beauty,Central,Online,Net Banking,5,59.99,0.09,54.59,272.95,165.99,106.96
TXN01845,2023-01-09,CUST0241,PROD007,Slim Jeans,Clothing,South,Mobile App,Debit Card,5,59.99,0.18,49.19,245.95,115.79,130.16
TXN01005,2023-01-09,CUST0216,PROD007,Slim Jeans,Clothing,North,Online,UPI,3,59.99,0.23,46.19,138.57,67.9,70.67
TXN00256,2023-01-09,CUST0124,PROD006,Running Jacket,Clothing,South,Online,Credit Card,1,79.99,0.2,63.99,63.99,34.16,29.83
TXN00581,2023-01-10,CUST0318,PROD016,Yoga Mat,Sports,East,Mobile App,Debit Card,5,34.99,0.09,31.84,159.2,77.55,81.65
TXN00615,2023-01-10,CUST0178,PROD023,Business Analytics,Books,East,In-Store,UPI,3,44.99,0.12,39.59,118.77,71.13,47.64
TXN01309,2023-01-10,CUST0442,PROD001,"Laptop Pro 15""",Electronics,West,In-Store,Net Banking,3,1199.99,0.21,947.99,2843.97,1498.17,1345.8
TXN01070,2023-01-11,CUST0202,PROD011,Air Fryer 5L,Home & Kitchen,Central,Mobile App,Cash,5,89.99,0.05,85.49,427.45,261.84,165.61
TXN01631,2023-01-11,CUST0301,PROD009,Winter Coat,Clothing,East,In-Store,Cash,4,149.99,0.09,136.49,545.96,264.29,281.67
TXN00067,2023-01-11,CUST0319,PROD026,Vitamin C Serum,Beauty,South,Online,Debit Card,1,34.99,0.24,26.59,26.59,13.03,13.56
TXN00755,2023-01-11,CUST0150,PROD009,Winter Coat,Clothing,South,Online,Credit Card,3,149.99,0.11,133.49,400.47,239.3,161.17
TXN01105,2023-01-11,CUST0065,PROD024,SQL Mastery,Books,South,In-Store,Cash,2,34.99,0.03,33.94,67.88,32.01,35.87
TXN01881,2023-01-11,CUST0101,PROD015,Cutting Board,Home & Kitchen,West,In-Store,Net Banking,2,19.99,0.23,15.39,30.78,18.77,12.01
TXN00966,2023-01-11,CUST0426,PROD006,Running Jacket,Clothing,South,In-Store,Credit Card,2,79.99,0.21,63.19,126.38,79.89,46.49
TXN00388,2023-01-11,CUST0164,PROD009,Winter Coat,Clothing,East,Online,Credit Card,1,149.99,0.2,119.99,119.99,54.8,65.19
TXN00436,2023-01-11,CUST0025,PROD005,USB-C Hub,Electronics,North,In-Store,Net Banking,1,49.99,0.17,41.49,41.49,24.09,17.4
TXN00662,2023-01-12,CUST0296,PROD001,"Laptop Pro 15""",Electronics,East,Mobile App,Debit Card,5,1199.99,0.19,971.99,4859.95,2911.65,1948.3
TXN01969,2023-01-12,CUST0253,PROD012,Coffee Maker,Home & Kitchen,Central,Mobile App,Net Banking,5,69.99,0.19,56.69,283.45,181.96,101.49
TXN01499,2023-01-12,CUST0072,PROD023,Business Analytics,Books,North,Mobile App,UPI,5,44.99,0.13,39.14,195.7,99.47,96.23
TXN01179,2023-01-12,CUST0488,PROD014,Knife Set,Home & Kitchen,West,In-Store,UPI,4,44.99,0.05,42.74,170.96,84.16,86.8
TXN00922,2023-01-12,CUST0175,PROD025,ML for Beginners,Books,West,Online,Net Banking,3,29.99,0.1,26.99,80.97,37.16,43.81
TXN01365,2023-01-13,CUST0118,PROD024,SQL Mastery,Books,South,Online,UPI,4,34.99,0.01,34.64,138.56,70.2,68.36
TXN01434,2023-01-13,CUST0278,PROD028,Lipstick Set,Beauty,East,Online,UPI,3,39.99,0.11,35.59,106.77,62.46,44.31
TXN01164,2023-01-13,CUST0301,PROD030,Perfume 50ml,Beauty,West,In-Store,Cash,1,69.99,0.13,60.89,60.89,36.84,24.05
TXN00479,2023-01-13,CUST0467,PROD016,Yoga Mat,Sports,Central,In-Store,Cash,4,34.99,0.06,32.89,131.56,78.25,53.31
TXN01509,2023-01-14,CUST0274,PROD007,Slim Jeans,Clothing,Central,Online,Debit Card,2,59.99,0.05,56.99,113.98,55.43,58.55
TXN00069,2023-01-14,CUST0476,PROD021,Data Science Handbook,Books,East,Mobile App,Net Banking,2,49.99,0.24,37.99,75.98,35.83,40.15
TXN01921,2023-01-14,CUST0301,PROD007,Slim Jeans,Clothing,South,In-Store,Debit Card,4,59.99,0.13,52.19,208.76,108.26,100.5
TXN01346,2023-01-14,CUST0190,PROD005,USB-C Hub,Electronics,South,In-Store,Cash,5,49.99,0.2,39.99,199.95,90.24,109.71
TXN00859,2023-01-14,CUST0146,PROD002,Wireless Earbuds,Electronics,North,In-Store,UPI,4,89.99,0.17,74.69,298.76,187.46,111.3
TXN01734,2023-01-15,CUST0099,PROD004,"Tablet 10""",Electronics,East,In-Store,Net Banking,1,399.99,0.22,311.99,311.99,189.11,122.88
TXN01574,2023-01-15,CUST0366,PROD003,Smart Watch,Electronics,Central,In-Store,Net Banking,5,249.99,0.06,234.99,1174.95,739.4,435.55
TXN00112,2023-01-15,CUST0024,PROD026,Vitamin C Serum,Beauty,East,Online,UPI,4,34.99,0.04,33.59,134.36,68.51,65.85
TXN01583,2023-01-15,CUST0410,PROD005,USB-C Hub,Electronics,Central,Mobile App,UPI,1,49.99,0.0,49.99,49.99,26.34,23.65
TXN00666,2023-01-15,CUST0242,PROD015,Cutting Board,Home & Kitchen,North,Online,Net Banking,3,19.99,0.14,17.19,51.57,23.73,27.84
TXN00733,2023-01-15,CUST0249,PROD001,"Laptop Pro 15""",Electronics,Central,Online,Credit Card,1,1199.99,0.23,923.99,923.99,448.3,475.69
TXN00775,2023-01-15,CUST0062,PROD017,Dumbbell Set,Sports,East,In-Store,Credit Card,4,79.99,0.23,61.59,246.36,142.63,103.73
TXN01284,2023-01-16,CUST0473,PROD001,"Laptop Pro 15""",Electronics,South,In-Store,Credit Card,4,1199.99,0.19,971.99,3887.96,2221.22,1666.74
TXN00655,2023-01-16,CUST0174,PROD023,Business Analytics,Books,West,Mobile App,Cash,3,44.99,0.02,44.09,132.27,63.47,68.8
TXN00373,2023-01-16,CUST0459,PROD018,Resistance Bands,Sports,East,Online,Net Banking,2,19.99,0.01,19.79,39.58,22.54,17.04
TXN01916,2023-01-16,CUST0301,PROD001,"Laptop Pro 15""",Electronics,North,In-Store,Net Banking,2,1199.99,0.05,1139.99,2279.98,1038.11,1241.87
TXN01459,2023-01-16,CUST0106,PROD009,Winter Coat,Clothing,Central,In-Store,Net Banking,2,149.99,0.08,137.99,275.98,140.36,135.62
TXN01502,2023-01-17,CUST0492,PROD005,USB-C Hub,Electronics,Central,In-Store,Cash,3,49.99,0.0,49.99,149.97,80.6,69.37
TXN00584,2023-01-17,CUST0293,PROD006,Running Jacket,Clothing,West,Mobile App,Net Banking,2,79.99,0.03,77.59,155.18,75.78,79.4
TXN01461,2023-01-17,CUST0350,PROD007,Slim Jeans,Clothing,West,Mobile App,Net Banking,4,59.99,0.18,49.19,196.76,91.29,105.47
TXN01888,2023-01-17,CUST0392,PROD017,Dumbbell Set,Sports,North,Online,Credit Card,3,79.99,0.25,59.99,179.97,93.14,86.83
TXN01195,2023-01-17,CUST0008,PROD014,Knife Set,Home & Kitchen,North,Online,UPI,2,44.99,0.0,44.99,89.98,56.85,33.13
TXN01073,2023-01-18,CUST0044,PROD007,Slim Jeans,Clothing,North,Mobile App,UPI,1,59.99,0.14,51.59,51.59,32.0,19.59
TXN01674,2023-01-18,CUST0330,PROD029,Hair Dryer,Beauty,East,In-Store,Cash,3,59.99,0.1,53.99,161.97,83.47,78.5
TXN01413,2023-01-18,CUST0166,PROD023,Business Analytics,Books,North,Mobile App,UPI,3,44.99,0.14,38.69,116.07,67.51,48.56
TXN00558,2023-01-18,CUST0340,PROD017,Dumbbell Set,Sports,East,In-Store,Net Banking,2,79.99,0.13,69.59,139.18,67.38,71.8
TXN01914,2023-01-18,CUST0371,PROD028,Lipstick Set,Beauty,North,Online,Cash,2,39.99,0.01,39.59,79.18,42.07,37.11
TXN00398,2023-01-18,CUST0258,PROD022,Python Crash Course,Books,Central,Mobile App,Cash,4,39.99,0.07,37.19,148.76,78.69,70.07
TXN01076,2023-01-19,CUST0097,PROD022,Python Crash Course,Books,South,In-Store,Debit Card,1,39.99,0.17,33.19,33.19,15.23,17.96
TXN01435,2023-01-19,CUST0306,PROD014,Knife Set,Home & Kitchen,North,In-Store,Credit Card,1,44.99,0.11,40.04,40.04,20.4,19.64
TXN01764,2023-01-19,CUST0196,PROD025,ML for Beginners,Books,East,Online,Debit Card,5,29.99,0.13,26.09,130.45,63.81,66.64
TXN00660,2023-01-19,CUST0236,PROD006,Running Jacket,Clothing,West,Mobile App,Cash,5,79.99,0.17,66.39,331.95,158.19,173.76
TXN01998,2023-01-19,CUST0398,PROD006,Running Jacket,Clothing,East,Online,Net Banking,3,79.99,0.24,60.79,182.37,110.97,71.4
TXN01605,2023-01-19,CUST0241,PROD005,USB-C Hub,Electronics,West,Online,Credit Card,4,49.99,0.05,47.49,189.96,105.17,84.79
TXN00377,2023-01-20,CUST0047,PROD022,Python Crash Course,Books,North,Online,Cash,4,39.99,0.14,34.39,137.56,66.73,70.83
TXN01801,2023-01-20,CUST0299,PROD001,"Laptop Pro 15""",Electronics,North,Online,Cash,2,1199.99,0.22,935.99,1871.98,965.99,905.99
TXN00236,2023-01-20,CUST0468,PROD005,USB-C Hub,Electronics,South,In-Store,Debit Card,2,49.99,0.13,43.49,86.98,51.72,35.26
TXN01612,2023-01-20,CUST0074,PROD005,USB-C Hub,Electronics,North,Mobile App,Debit Card,2,49.99,0.18,40.99,81.98,42.16,39.82
TXN01113,2023-01-21,CUST0001,PROD029,Hair Dryer,Beauty,North,Mobile App,UPI,2,59.99,0.08,55.19,110.38,50.72,59.66
TXN00220,2023-01-21,CUST0024,PROD012,Coffee Maker,Home & Kitchen,North,Online,UPI,2,69.99,0.15,59.49,118.98,63.09,55.89
TXN00794,2023-01-21,CUST0043,PROD009,Winter Coat,Clothing,East,In-Store,Credit Card,3,149.99,0.18,122.99,368.97,207.15,161.82
TXN01167,2023-01-21,CUST0457,PROD013,Blender Pro,Home & Kitchen,West,Online,Debit Card,3,59.99,0.16,50.39,151.17,96.45,54.72
TXN00153,2023-01-22,CUST0224,PROD025,ML for Beginners,Books,North,In-Store,Credit Card,3,29.99,0.02,29.39,88.17,54.87,33.3
TXN01173,2023-01-22,CUST0318,PROD024,SQL Mastery,Books,North,Mobile App,Debit Card,3,34.99,0.22,27.29,81.87,53.07,28.8
TXN01117,2023-01-22,CUST0301,PROD001,"Laptop Pro 15""",Electronics,South,Online,Net Banking,2,1199.99,0.16,1007.99,2015.98,1149.85,866.13
TXN00208,2023-01-22,CUST0423,PROD030,Perfume 50ml,Beauty,North,Online,Credit Card,5,69.99,0.08,64.39,321.95,204.37,117.58
TXN01552,2023-01-22,CUST0309,PROD020,Jump Rope,Sports,North,Mobile App,Credit Card,5,14.99,0.22,11.69,58.45,34.11,24.34
TXN00162,2023-01-22,CUST0231,PROD024,SQL Mastery,Books,Central,Mobile App,Debit Card,4,34.99,0.15,29.74,118.96,76.24,42.72
TXN00502,2023-01-22,CUST0343,PROD009,Winter Coat,Clothing,South,Mobile App,UPI,2,149.99,0.02,146.99,293.98,154.01,139.97
TXN00038,2023-01-23,CUST0002,PROD011,Air Fryer 5L,Home & Kitchen,East,Online,UPI,1,89.99,0.16,75.59,75.59,46.55,29.04
TXN00915,2023-01-23,CUST0214,PROD009,Winter Coat,Clothing,West,Mobile App,UPI,1,149.99,0.03,145.49,145.49,75.62,69.87
TXN01698,2023-01-23,CUST0448,PROD007,Slim Jeans,Clothing,Central,In-Store,Cash,4,59.99,0.2,47.99,191.96,124.61,67.35
TXN00996,2023-01-23,CUST0123,PROD027,Moisturizer SPF30,Beauty,South,In-Store,Cash,5,29.99,0.02,29.39,146.95,86.66,60.29
TXN01599,2023-01-23,CUST0080,PROD009,Winter Coat,Clothing,South,Mobile App,Debit Card,2,149.99,0.09,136.49,272.98,168.58,104.4
TXN00047,2023-01-23,CUST0363,PROD021,Data Science Handbook,Books,West,Online,Cash,4,49.99,0.22,38.99,155.96,76.11,79.85
TXN00432,2023-01-24,CUST0153,PROD004,"Tablet 10""",Electronics,East,In-Store,Cash,5,399.99,0.15,339.99,1699.95,821.76,878.19
TXN00006,2023-01-24,CUST0339,PROD015,Cutting Board,Home & Kitchen,South,In-Store,Credit Card,3,19.99,0.14,17.19,51.57,30.47,21.1
TXN00969,2023-01-24,CUST0391,PROD015,Cutting Board,Home & Kitchen,Central,Mobile App,Debit Card,4,19.99,0.24,15.19,60.76,30.31,30.45
TXN00724,2023-01-24,CUST0304,PROD022,Python Crash Course,Books,South,In-Store,Credit Card,3,39.99,0.21,31.59,94.77,57.68,37.09
TXN00257,2023-01-25,CUST0126,PROD021,Data Science Handbook,Books,North,In-Store,Net Banking,4,49.99,0.15,42.49,169.96,100.39,69.57
TXN00914,2023-01-25,CUST0480,PROD016,Yoga Mat,Sports,East,In-Store,Debit Card,2,34.99,0.04,33.59,67.18,38.15,29.03
TXN00869,2023-01-25,CUST0283,PROD008,Casual T-Shirt,Clothing,North,Online,Cash,2,24.99,0.13,21.74,43.48,22.14,21.34
TXN00758,2023-01-25,CUST0076,PROD009,Winter Coat,Clothing,East,In-Store,Net Banking,3,149.99,0.24,113.99,341.97,206.53,135.44
TXN00118,2023-01-26,CUST0467,PROD011,Air Fryer 5L,Home & Kitchen,Central,Mobile App,Net Banking,5,89.99,0.22,70.19,350.95,212.56,138.39
TXN00842,2023-01-26,CUST0206,PROD004,"Tablet 10""",Electronics,Central,In-Store,Cash,2,399.99,0.07,371.99,743.98,461.54,282.44
TXN01884,2023-01-26,CUST0261,PROD010,Sneakers,Clothing,Central,Mobile App,Credit Card,2,99.99,0.2,79.99,159.98,79.69,80.29
TXN00233,2023-01-26,CUST0343,PROD006,Running Jacket,Clothing,Central,Online,Debit Card,5,79.99,0.19,64.79,323.95,161.28,162.67
TXN01220,2023-01-26,CUST0411,PROD029,Hair Dryer,Beauty,West,In-Store,Credit Card,3,59.99,0.2,47.99,143.97,70.49,73.48
TXN00567,2023-01-26,CUST0497,PROD015,Cutting Board,Home & Kitchen,Central,Online,Debit Card,4,19.99,0.05,18.99,75.96,34.48,41.48
TXN01855,2023-01-26,CUST0130,PROD027,Moisturizer SPF30,Beauty,North,In-Store,Net Banking,4,29.99,0.12,26.39,105.56,53.28,52.28
TXN00368,2023-01-26,CUST0087,PROD006,Running Jacket,Clothing,Central,In-Store,Net Banking,3,79.99,0.03,77.59,232.77,148.61,84.16
TXN01004,2023-01-27,CUST0307,PROD030,Perfume 50ml,Beauty,North,Online,Net Banking,1,69.99,0.1,62.99,62.99,32.23,30.76
TXN00837,2023-01-27,CUST0329,PROD030,Perfume 50ml,Beauty,South,Mobile App,Net Banking,3,69.99,0.11,62.29,186.87,85.11,101.76
TXN01687,2023-01-28,CUST0332,PROD027,Moisturizer SPF30,Beauty,South,Mobile App,UPI,5,29.99,0.2,23.99,119.95,62.64,57.31
TXN00541,2023-01-28,CUST0270,PROD023,Business Analytics,Books,West,In-Store,Cash,4,44.99,0.06,42.29,169.16,95.63,73.53
TXN00339,2023-01-28,CUST0402,PROD025,ML for Beginners,Books,South,In-Store,Net Banking,2,29.99,0.19,24.29,48.58,24.73,23.85
TXN00631,2023-01-28,CUST0354,PROD014,Knife Set,Home & Kitchen,Central,Online,Net Banking,2,44.99,0.11,40.04,80.08,45.86,34.22
TXN01419,2023-01-28,CUST0497,PROD010,Sneakers,Clothing,North,In-Store,Debit Card,2,99.99,0.03,96.99,193.98,100.22,93.76
TXN00832,2023-01-28,CUST0354,PROD030,Perfume 50ml,Beauty,South,In-Store,Cash,1,69.99,0.21,55.29,55.29,32.2,23.09
TXN00284,2023-01-28,CUST0051,PROD027,Moisturizer SPF30,Beauty,West,Online,Credit Card,1,29.99,0.13,26.09,26.09,16.82,9.27
TXN01157,2023-01-29,CUST0113,PROD024,SQL Mastery,Books,West,Online,Cash,2,34.99,0.19,28.34,56.68,30.04,26.64
TXN00009,2023-01-29,CUST0118,PROD030,Perfume 50ml,Beauty,North,In-Store,Net Banking,2,69.99,0.17,58.09,116.18,71.87,44.31
TXN00767,2023-01-29,CUST0466,PROD009,Winter Coat,Clothing,East,In-Store,Debit Card,3,149.99,0.15,127.49,382.47,211.24,171.23
TXN00249,2023-01-29,CUST0233,PROD030,Perfume 50ml,Beauty,South,Mobile App,Net Banking,4,69.99,0.02,68.59,274.36,151.47,122.89
TXN01910,2023-01-30,CUST0437,PROD026,Vitamin C Serum,Beauty,East,Online,Debit Card,3,34.99,0.01,34.64,103.92,61.04,42.88
TXN00029,2023-01-30,CUST0297,PROD030,Perfume 50ml,Beauty,Central,Online,UPI,4,69.99,0.04,67.19,268.76,136.89,131.87
TXN01312,2023-01-30,CUST0414,PROD015,Cutting Board,Home & Kitchen,North,Mobile App,Net Banking,4,19.99,0.22,15.59,62.36,37.82,24.54
TXN00193,2023-01-30,CUST0039,PROD003,Smart Watch,Electronics,West,In-Store,Cash,5,249.99,0.25,187.49,937.45,473.33,464.12
TXN01294,2023-01-31,CUST0072,PROD003,Smart Watch,Electronics,South,Mobile App,UPI,4,249.99,0.07,232.49,929.96,480.7,449.26
TXN00787,2023-01-31,CUST0241,PROD006,Running Jacket,Clothing,North,In-Store,Credit Card,1,79.99,0.2,63.99,63.99,35.37,28.62
TXN00323,2023-01-31,CUST0142,PROD021,Data Science Handbook,Books,South,Mobile App,Debit Card,2,49.99,0.24,37.99,75.98,46.13,29.85
TXN00274,2023-01-31,CUST0317,PROD002,Wireless Earbuds,Electronics,Central,In-Store,Net Banking,1,89.99,0.05,85.49,85.49,46.27,39.22
TXN00708,2023-02-01,CUST0196,PROD028,Lipstick Set,Beauty,West,In-Store,Credit Card,3,39.99,0.04,38.39,115.17,53.53,61.64
TXN00677,2023-02-01,CUST0047,PROD005,USB-C Hub,Electronics,South,Online,Cash,4,49.99,0.08,45.99,183.96,106.51,77.45
TXN01650,2023-02-01,CUST0033,PROD021,Data Science Handbook,Books,West,In-Store,Credit Card,3,49.99,0.07,46.49,139.47,67.26,72.21
TXN01402,2023-02-01,CUST0034,PROD021,Data Science Handbook,Books,South,Mobile App,Debit Card,4,49.99,0.1,44.99,179.96,105.01,74.95
TXN00897,2023-02-01,CUST0202,PROD013,Blender Pro,Home & Kitchen,North,Mobile App,Debit Card,4,59.99,0.25,44.99,179.96,86.9,93.06
TXN00485,2023-02-02,CUST0388,PROD026,Vitamin C Serum,Beauty,Central,Online,Credit Card,5,34.99,0.0,34.99,174.95,103.93,71.02
TXN01283,2023-02-02,CUST0032,PROD002,Wireless Earbuds,Electronics,Central,In-Store,Credit Card,4,89.99,0.19,72.89,291.56,155.7,135.86
TXN00309,2023-02-02,CUST0296,PROD002,Wireless Earbuds,Electronics,North,Mobile App,Debit Card,2,89.99,0.07,83.69,167.38,98.88,68.5
TXN00060,2023-02-02,CUST0213,PROD007,Slim Jeans,Clothing,West,In-Store,Cash,4,59.99,0.17,49.79,199.16,117.76,81.4
TXN01817,2023-02-02,CUST0243,PROD011,Air Fryer 5L,Home & Kitchen,West,In-Store,Cash,4,89.99,0.15,76.49,305.96,196.74,109.22
TXN00125,2023-02-02,CUST0326,PROD025,ML for Beginners,Books,West,Mobile App,UPI,3,29.99,0.23,23.09,69.27,34.24,35.03
TXN01214,2023-02-02,CUST0231,PROD017,Dumbbell Set,Sports,South,Online,Cash,5,79.99,0.09,72.79,363.95,229.14,134.81
TXN01803,2023-02-03,CUST0237,PROD025,ML for Beginners,Books,Central,In-Store,Debit Card,1,29.99,0.21,23.69,23.69,12.01,11.68
TXN00202,2023-02-03,CUST0159,PROD014,Knife Set,Home & Kitchen,West,Mobile App,Net Banking,5,44.99,0.03,43.64,218.2,136.78,81.42
TXN00927,2023-02-03,CUST0248,PROD003,Smart Watch,Electronics,North,In-Store,Debit Card,1,249.99,0.08,229.99,229.99,128.94,101.05
TXN01902,2023-02-03,CUST0073,PROD021,Data Science Handbook,Books,West,Mobile App,UPI,4,49.99,0.07,46.49,185.96,89.44,96.52
TXN00951,2023-02-03,CUST0401,PROD001,"Laptop Pro 15""",Electronics,South,Online,Net Banking,4,1199.99,0.08,1103.99,4415.96,2735.86,1680.1
TXN01956,2023-02-04,CUST0394,PROD016,Yoga Mat,Sports,East,Online,Net Banking,2,34.99,0.14,30.09,60.18,38.3,21.88
TXN01606,2023-02-04,CUST0124,PROD006,Running Jacket,Clothing,West,Mobile App,UPI,4,79.99,0.05,75.99,303.96,183.14,120.82
TXN01711,2023-02-04,CUST0130,PROD002,Wireless Earbuds,Electronics,West,Online,Net Banking,2,89.99,0.21,71.09,142.18,83.33,58.85
TXN01785,2023-02-04,CUST0496,PROD021,Data Science Handbook,Books,South,In-Store,UPI,5,49.99,0.18,40.99,204.95,115.44,89.51
